15624,876,741
14616,876,715
13398,876,214
36876,876,119
9618,949,886
6720,949,451
756,949,358
38052,949,296
24066,1022,462
2982,1022,705
8820,1022,157
3570,1022,997
9954,1022,308
26460,1095,560
15372,1168,865
21378,1168,153
42420,1241,503
39858,1241,241
18564,1314,704
19992,1387,617
24402,1387,968
6342,1606,403
5082,1606,687
19278,1606,120
2688,1606,378
40824,1679,759
15750,1679,708
4074,1679,487
6174,1679,299
8820,1752,157
15876,1825,751
20496,1825,130
5124,1825,192
11214,1898,912
40026,1971,292
11214,1971,912
23772,1971,768
11466,1971,558
1806,2044,853
2016,2044,883
38724,2117,280
34062,2117,113
26880,2117,469
4074,2190,487
4872,2263,569
14154,2263,884
40572,2336,608
4872,2336,569
15456,2409,609
13608,2409,320
36960,2409,549
17052,2409,278
34062,2409,113
3234,2555,410
30618,2555,553
36876,2628,119
24318,2628,191
23856,2701,101
29736,2701,223
32634,2701,443
14490,2774,255
37506,2774,938
24738,2774,685
16968,2847,645
31290,2847,365
26838,2847,676
19278,2847,120
37464,2847,839
16632,2920,724
41160,2920,188
1554,2920,597
36120,2993,223
13608,2993,320
2142,3066,498
34608,3066,513
1974,3066,458
37968,3139,650
21378,3139,153
30408,3139,644
16212,3139,999
30156,3212,509
27636,3212,595
29736,3285,223
6846,3358,273
19614,3358,250
41580,3431,682
25788,3431,501
27300,3431,702
25032,3431,165
36078,3504,358
35952,3504,201
32928,3504,276
34986,3504,151
3528,3577,550
3192,3577,525
41538,3577,553
7434,3577,861
23100,3577,321
4452,3650,244
22974,3723,135
26964,3723,647
5166,3723,531
10500,3723,488
13440,3796,748
32004,3869,626
966,3942,454
26418,3942,345
38850,4015,188
27426,4015,918
25242,4015,190
35784,4088,805
28854,4161,685
26334,4234,112
5502,4234,836
29316,4234,309
37968,4234,650
8652,4234,357
7182,4307,381
13482,4307,157
15876,4307,751
4326,4307,163
7056,4380,180
9072,4380,416
9744,4380,312
9366,4453,109
4914,4453,385
4074,4453,487
13272,4526,976
7392,4526,371
6258,4599,741
7518,4672,121
21336,4672,913
19866,4745,786
3360,4818,953
9114,4818,791
14490,4818,255
16002,4818,531
25704,4891,700
40278,4891,436
9828,4891,483
41244,4891,456
35322,4964,518
16002,5037,531
27384,5037,307
26838,5037,676
29400,5110,865
38094,5183,387
37380,5183,478
24738,5183,685
38514,5256,451
18858,5329,702
35994,5329,120
25830,5329,183
19404,5402,917
19908,5402,656
1470,5402,776
24444,5475,247
13062,5621,118
37254,5621,947
966,5694,454
17220,5767,199
36540,5767,243
41412,5767,145
40152,5767,207
38388,5840,710
840,5840,550
3024,5913,131
27090,5913,172
13650,5913,395
34230,5913,328
21042,5986,478
10290,5986,956
33726,5986,254
28224,5986,427
9870,6059,968
20244,6132,297
5502,6132,836
6846,6205,273
3696,6205,928
42042,6205,465
20286,6278,858
41454,6278,202
1638,6351,937
21042,6424,478
3570,6424,997
11970,6424,188
3360,6424,953
5334,6497,779
42504,6497,125
3864,6497,916
15960,6497,146
2142,6570,498
31164,6570,195
35952,6643,201
16800,6643,901
16926,6643,741
32844,6716,456
13398,6716,214
30618,6716,553
26586,6789,843
11382,6789,836
9240,6789,729
30534,6862,734
9702,6862,964
27720,6862,782
22386,6862,472
10668,6862,648
38724,6935,280
16380,6935,682
37758,6935,125
5628,6935,978
23478,6935,244
3402,7008,753
42462,7008,895
10416,7008,297
6132,7008,762
36708,7081,913
