588,Maldives,Malé,09/27/2032 10:56 AM,Draaco Aventura,18
630,Australia,Canberra,09/30/2028 01:41 AM,Draaco Aventura,18
672,Jamaica,Kingston,05/03/2023 01:56 AM,Draaco Aventura,18
714,Ecuador,Quito,09/18/2026 12:26 AM,Justin Bieber,6
756,Democratic Republic of the Congo,Kinshasa,11/18/2040 05:54 PM,Peer van Mladen,18
798,Jamaica,Kingston,07/03/2031 02:02 PM,Chris Janson,0
840,Guinea-Bissau,Bissau,11/13/2036 08:08 PM,One Direction,18
882,Pitcairn Islands,Adamstown,02/18/2025 11:08 PM,One Direction,18
924,Montserrat,Plymouth,01/18/2035 03:46 PM,One Direction,18
966,Spain,Madrid,08/08/2023 11:50 AM,One Direction,18
1008,Grenada,St. George's,01/11/2038 12:17 PM,Drake,0
1050,Luxembourg,Luxembourg,02/06/2027 04:07 PM,Drake,0
1092,Falkland Islands,Stanley,12/24/2037 11:57 AM,Drake,0
1134,South Sudan,Juba,02/21/2036 04:41 AM,Drake,0
1176,Northern Mariana Islands,Saipan,07/18/2039 05:47 AM,Carrie Underwood,18
1218,Greece,Athens,07/31/2026 08:31 PM,Carrie Underwood,18
1260,Serbia,Belgrade,02/27/2030 01:53 PM,Carrie Underwood,18
1302,Switzerland,Bern,08/17/2022 10:59 PM,Carrie Underwood,18
1344,Isle of Man,Douglas,04/02/2022 09:33 PM,Carrie Underwood,18
1386,Finland,Helsinki,03/10/2034 03:52 AM,Ed Sheeran,6
1428,Serbia,Belgrade,02/12/2037 03:42 AM,Taylor Swift,0
1470,Guam,Hagåtña,06/04/2039 03:31 PM,Taylor Swift,0
1512,Saint Lucia,Castries,06/27/2030 11:44 PM,Chris Brown,18
1554,Saint Lucia,Castries,11/23/2028 09:12 PM,Chris Brown,18
1596,Côte d'Ivoire,Yamoussoukro,08/06/2040 10:58 PM,Chris Brown,18
1638,Mozambique,Maputo,06/08/2023 09:38 AM,Chris Brown,18
1680,Vanuatu,Port Vila,05/04/2025 01:34 AM,Chris Brown,18
1722,Ireland,Dublin,11/29/2040 12:02 PM,Nicki Minaj,0
1764,Kuwait,Kuwait City,11/16/2040 10:32 AM,Nicki Minaj,0
1806,Greece,Athens,06/03/2037 05:14 AM,Fifth Harmony,18
1848,Panama,Panama City,01/17/2027 05:30 PM,Thomas Rhett ,6
1890,Hungary,Budapest,12/30/2036 12:51 PM,Thomas Rhett ,6
1932,Qatar,Doha,10/28/2030 06:33 AM,Eminem,18
1974,Iceland,Reykjavík,08/05/2030 11:59 PM,Eminem,18
2016,Kosovo,Pristina,07/18/2030 11:23 PM,Eminem,18
2058,Ascension Island,Georgetown,03/07/2032 10:39 PM,Eminem,18
2100,Peru,Lima,12/18/2035 07:20 AM,Beyoncé,0
2142,Guinea,Conakry,07/23/2035 07:07 AM,Beyoncé,0
2184,El Salvador,San Salvador,09/12/2038 02:55 AM,Twenty One Pilots,0
2226,Tajikistan,Dushanbe,04/18/2025 01:18 AM,Twenty One Pilots,0
2268,Christmas Island,Flying Fish Cove,07/26/2039 10:42 PM,5 Seconds Of Summer,6
2310,Philippines,Manila,07/27/2035 10:41 AM,5 Seconds Of Summer,6
2352,Burkina Faso,Ouagadougou,01/16/2039 05:16 PM,5 Seconds Of Summer,6
2394,Dominica,Roseau,03/11/2038 05:49 AM,Jason Aldean,0
2436,Libya,Tripoli,10/06/2036 03:36 AM,Jason Aldean,0
2478,Christmas Island,Flying Fish Cove,09/09/2038 02:52 PM,Jason Aldean,0
2520,Sudan,Khartoum,07/11/2025 03:52 PM,Luke Bryan,6
2562,Azerbaijan,Baku,11/26/2024 07:51 PM,Luke Bryan,6
2604,Palestine,Jerusalem,07/10/2034 02:30 PM,Blake Shelton,0
2646,Mexico,Mexico City,02/27/2030 09:38 AM,Blake Shelton,0
2688,Liberia,Monrovia,06/03/2032 03:47 PM,Rihanna,18
2730,Democratic Republic of the Congo,Kinshasa,07/10/2024 08:02 AM,Rihanna,18
2772,Bahamas,Nassau,11/24/2032 02:57 AM,Rihanna,18
2814,United Kingdom Northern Ireland,Belfast,05/08/2029 06:31 PM,Rihanna,18
2856,Mauritania,Nouakchott,07/25/2040 03:56 AM,Rihanna,18
2898,Georgia,Tbilisi,06/08/2027 03:52 PM,Elvis Presley,6
2940,Scotland,Edinburgh,12/27/2031 06:46 PM,Elvis Presley,6
2982,China,Beijing,08/23/2027 12:54 AM,Elvis Presley,6
3024,Italy,Rome,04/05/2024 01:54 AM,Elvis Presley,6
3066,China,Beijing,10/18/2040 05:23 AM,Elvis Presley,6
3108,Zambia,Lusaka,01/25/2034 03:21 AM,Ariana Grande,6
3150,Cayman Islands,George Town,01/15/2027 06:11 AM,Ariana Grande,6
3192,Macedonia,Skopje,04/23/2038 01:54 PM,JD Shelburne,18
3234,Qatar,Doha,04/14/2022 10:27 PM,Lil Wayne,0
3276,Vanuatu,Port Vila,04/13/2023 02:53 PM,Lil Wayne,0
